x y
1400.0000 3000.0000
1300.0000 3000.0000
1200.0000 3000.0000
1100.0000 3000.0000
1000.0000 3000.0000
900.0000 3000.0000
800.0000 3000.0000
700.0000 3000.0000
900.0000 2700.0000
1000.0000 2700.0000
1100.0000 2700.0000
1200.0000 2700.0000
1300.0000 2700.0000
1400.0000 2700.0000
1500.0000 2700.0000
1600.0000 2700.0000
1690.0000 2680.0000
1720.0000 2610.0000
1829.0000 2700.0000
1829.0000 2800.0000
1900.0000 3000.0000
2200.0000 3200.0000
2150.0000 3250.0000
2100.0000 3200.0000
2050.0000 3150.0000
2000.0000 3100.0000
2000.0000 3000.0000
2000.0000 2900.0000
2220.0000 2820.0000
2120.0000 2750.0000
2000.0000 2800.0000
2000.0000 2700.0000
2000.0000 2600.0000
2000.0000 2500.0000
2000.0000 2400.0000
2000.0000 2300.0000
2000.0000 2200.0000
1800.0000 2100.0000
1700.0000 2100.0000
1600.0000 2100.0000
1500.0000 2100.0000
1400.0000 2100.0000
1400.0000 2000.0000
1300.0000 2100.0000
1350.0000 2140.0000
1300.0000 2200.0000
1220.0000 2210.0000
1200.0000 2100.0000
1100.0000 2100.0000
1000.0000 2100.0000
900.0000 2100.0000
800.0000 2100.0000
700.0000 2100.0000
530.0000 2100.0000
300.0000 2200.0000
200.0000 2200.0000
200.0000 2300.0000
200.0000 2400.0000
200.0000 2500.0000
200.0000 2600.0000
300.0000 2500.0000
400.0000 2500.0000
469.0000 2550.0000
400.0000 2600.0000
400.0000 2700.0000
400.0000 2800.0000
300.0000 2800.0000
300.0000 2900.0000
400.0000 2900.0000
400.0000 3000.0000
300.0000 3000.0000
200.0000 3000.0000
300.0000 3100.0000
200.0000 3100.0000
200.0000 3200.0000
200.0000 3300.0000
200.0000 3400.0000
200.0000 3500.0000
150.0000 3500.0000
150.0000 3550.0000
200.0000 3600.0000
300.0000 3500.0000
300.0000 3400.0000
300.0000 3300.0000
300.0000 3200.0000
400.0000 3200.0000
520.0000 3200.0000
500.0000 3100.0000
400.0000 3100.0000
200.0000 2900.0000
200.0000 2800.0000
200.0000 2700.0000
300.0000 2700.0000
300.0000 2600.0000
400.0000 2400.0000
540.0000 2330.0000
700.0000 2400.0000
800.0000 2400.0000
900.0000 2400.0000
1000.0000 2400.0000
1100.0000 2400.0000
1200.0000 2400.0000
1300.0000 2400.0000
1400.0000 2400.0000
1500.0000 2400.0000
1600.0000 2400.0000
1700.0000 2400.0000
1800.0000 2400.0000
1790.0000 2580.0000
1400.0000 2500.0000
1170.0000 2280.0000
950.0000 2220.0000
850.0000 2280.0000
1000.0000 2600.0000
910.0000 2600.0000
800.0000 2600.0000
800.0000 2700.0000
700.0000 2700.0000
750.0000 2550.0000
540.0000 2430.0000
300.0000 2400.0000
300.0000 2300.0000
400.0000 2300.0000
400.0000 2200.0000
400.0000 2100.0000
400.0000 2000.0000
300.0000 2000.0000
300.0000 2100.0000
200.0000 2100.0000
200.0000 2000.0000
200.0000 1900.0000
300.0000 1900.0000
400.0000 1900.0000
400.0000 1800.0000
500.0000 1829.0000
700.0000 1800.0000
800.0000 1800.0000
900.0000 1800.0000
1000.0000 1800.0000
1100.0000 1800.0000
1200.0000 1800.0000
1300.0000 1800.0000
1400.0000 1800.0000
1500.0000 1800.0000
1500.0000 1900.0000
1550.0000 1850.0000
1600.0000 1800.0000
1700.0000 1800.0000
1800.0000 1800.0000
1800.0000 1500.0000
1700.0000 1500.0000
1600.0000 1500.0000
1500.0000 1500.0000
1400.0000 1500.0000
1300.0000 1500.0000
1200.0000 1500.0000
1100.0000 1500.0000
1000.0000 1500.0000
900.0000 1500.0000
800.0000 1500.0000
700.0000 1500.0000
700.0000 1600.0000
500.0000 1500.0000
400.0000 1500.0000
300.0000 1500.0000
300.0000 1600.0000
400.0000 1600.0000
400.0000 1700.0000
300.0000 1700.0000
300.0000 1800.0000
200.0000 1800.0000
200.0000 1700.0000
200.0000 1600.0000
200.0000 1500.0000
200.0000 1400.0000
300.0000 1400.0000
400.0000 1400.0000
400.0000 1300.0000
400.0000 1200.0000
300.0000 1200.0000
300.0000 1300.0000
200.0000 1300.0000
200.0000 1200.0000
200.0000 1100.0000
300.0000 1100.0000
400.0000 1100.0000
400.0000 1000.0000
400.0000 900.0000
400.0000 800.0000
400.0000 700.0000
400.0000 600.0000
400.0000 500.0000
400.0000 400.0000
300.0000 400.0000
300.0000 500.0000
300.0000 600.0000
300.0000 700.0000
300.0000 800.0000
300.0000 900.0000
300.0000 1000.0000
200.0000 1000.0000
200.0000 900.0000
200.0000 800.0000
200.0000 700.0000
200.0000 600.0000
200.0000 500.0000
200.0000 400.0000
